>EML4,chr2:42396490-42559688
1,42396490,42396776
2,42472645,42472827
3,42483641,42483770
4,42488261,42488434
5,42490318,42490446
6,42491846,42491871
7,42507990,42508113
8,42509963,42510112
9,42511774,42511843
10,42513409,42513519
11,42515367,42515462
12,42522265,42522399
13,42522521,42522656
14,42528381,42528532
15,42530244,42530369
16,42530455,42530586
17,42531624,42531691
18,42543102,42543190
19,42544567,42544664
20,42552607,42552694
21,42553294,42553392
22,42556026,42556156
23,42556874,42559688

>ALK,chr2:29415640-30144432
1,30142859,30144432
2,29940444,29940563
3,29917716,29917880
4,29754781,29754982
5,29606598,29606725
6,29551216,29551347
7,29543617,29543748
8,29541170,29541270
9,29519754,29519923
10,29498268,29498362
11,29497965,29498093
12,29473971,29474133
13,29462546,29462696
14,29456431,29456562
15,29455170,29455314
16,29451750,29451932
17,29450440,29450538
18,29449788,29449940
19,29448327,29448431
20,29446208,29446394
21,29445383,29445473
22,29445210,29445274
23,29443572,29443701
24,29436850,29436947
25,29432652,29432744
26,29430037,29430138
27,29420408,29420542
28,29419636,29419726
29,29415640,29416788

>BCR,chr22:23521891-23660224
1,23521891,23522019
2,23585005,23585172
3,23595986,23596167
4,23603137,23603241
5,23603542,23603615

>ABL1,chr9:133589333-133763062
1,133589333,133589842
2,133729451,133729624
3,133730188,133730483
4,133738150,133738422
5,133747516,133747600
6,133748247,133748424
7,133750255,133750439
8,133753802,133753954
9,133755455,133755544
10,133755887,133756051
11,133759356,133761070

>CCDC6,chr10:61548521-61666414
1,61665880,61666414
2,61612311,61612460
3,61592283,61592411
4,61574410,61574513
5,61572393,61572553
6,61566680,61566836
7,61564178,61564278
8,61554231,61554355
9,61548521,61552869

>RET,chr10:43572475-43625799
1,43572475,43572779
2,43595907,43596170
3,43597790,43598077
4,43600400,43600641
5,43601824,43602019
6,43604479,43604678
7,43606655,43606913
8,43607547,43607672
9,43608301,43608411
10,43609004,43609123
11,43609928,43610184
12,43612032,43612179
13,43613821,43613928
14,43614979,43615193
15,43615529,43615651
16,43617394,43617464
17,43619119,43619256
18,43620331,43620430
19,43622023,43622170
20,43623560,43625799

>TMPRSS2,chr21:42836478-42903043
1,42880008,42880086
2,42870046,42870116
3,42866283,42866505
4,42861434,42861520
5,42860321,42860440
6,42852403,42852529
7,42851099,42851209
8,42848504,42848547
9,42845252,42845423
10,42843733,42843908
11,42842575,42842670
12,42840323,42840465
13,42839661,42839813
14,42836478,42838080

>ERG,chr21:39751949-40033704
1,39870287,39870366
2,39817327,39817544
3,39795332,39795483
4,39775428,39775631
5,39774479,39774559
6,39764298,39764366
7,39763581,39763637
8,39762917,39762964
9,39751949,39755845

>NCOA4_ENST00000452682,chr10:51565108-51590734
1,51565108,51565296
2,51568294,51568390
3,51579128,51579282
4,51580556,51580696
5,51580880,51580968
6,51581270,51581378
7,51582183,51582272
8,51582796,51582939
9,51584616,51585599
10,51586271,51586411
11,51586610,51586698
12,51589225,51590731

>KIF5B,chr10:32297938-32345359
1,32344776,32345359
2,32337392,32337479
3,32329312,32329385
4,32328255,32328359
5,32327706,32327754
6,32327091,32327146
7,32326448,32326535
8,32326182,32326306
9,32324818,32324922
10,32324450,32324595
11,32323618,32323766
12,32322773,32322966
13,32321634,32321702
14,32320001,32320207
15,32317356,32317499
16,32311776,32311964
17,32311068,32311185
18,32310154,32310215
19,32309950,32310059
20,32308786,32308887
21,32307430,32307490
22,32307244,32307315
23,32306980,32307084
24,32306071,32306287
25,32304437,32304587
26,32297938,32300444

>TCF3,chr19:1609291-1652604
1,1615685,1615797
2,1615284,1615484
3,1612206,1612432
4,1611703,1611848
5,1609291,1609598

>PBX1,chr1:164524821-164868533
1,164524821,164524956
2,164532475,164532548
3,164533165,164533252

>KMT2A,chr11:118307205-118397539
1,118307205,118307659
2,118339490,118339559
3,118342377,118345030
4,118347520,118347697
5,118348682,118348916
6,118350889,118350953
7,118352430,118352807
8,118353137,118353210
9,118354898,118355029
10,118355577,118355690
11,118359329,118359475
12,118360507,118360602
13,118360844,118360964
14,118361911,118362033
15,118362459,118362643
16,118363772,118363945
17,118365003,118365113
18,118365409,118365482
19,118366415,118366608
20,118366976,118367082
21,118368651,118368788
22,118369085,118369243
23,118370018,118370135
24,118370550,118370628
25,118371702,118371862
26,118372387,118372572
27,118373113,118377361
28,118378244,118378324
29,118379851,118379915
30,118380663,118380833
31,118382666,118382740
32,118390333,118390507
33,118390672,118390779
34,118391517,118391600
35,118392003,118392132
36,118392612,118397539

>AFF1,chr4:87856154-88062206
