>EML4_ENST00000318522.9,chr2:42169350-42332548
1,42169350,42169636
2,42245505,42245687
3,42256501,42256630
4,42261121,42261294
5,42263178,42263306
6,42264706,42264731
7,42280850,42280973
8,42282823,42282972
9,42284634,42284703
10,42286269,42286379
11,42288227,42288322
12,42295125,42295259
13,42295381,42295516
14,42301241,42301392
15,42303104,42303229
16,42303315,42303446
17,42304484,42304551
18,42315962,42316050
19,42317427,42317524
20,42325467,42325554
21,42326154,42326252
22,42328886,42329016
23,42329734,42332548

>ALK_ENST00000389048.7,chr2:29192774-29921566
1,29919993,29921566
2,29717578,29717697
3,29694850,29695014
4,29531915,29532116
5,29383732,29383859
6,29328350,29328481
7,29320751,29320882
8,29318304,29318404
9,29296888,29297057
10,29275402,29275496
11,29275099,29275227
12,29251105,29251267
13,29239680,29239830
14,29233565,29233696
15,29232304,29232448
16,29228884,29229066
17,29227574,29227672
18,29226922,29227074
19,29225461,29225565
20,29223342,29223528
21,29222517,29222607
22,29222344,29222408
23,29220706,29220835
24,29213984,29214081
25,29209786,29209878
26,29207171,29207272
27,29197542,29197676
28,29196770,29196860
29,29192774,29193922

>KIF5B_ENST00000302418.4,chr10:32009010-32056431
1,32055848,32056431
2,32048464,32048551
3,32040384,32040457
4,32039327,32039431
5,32038778,32038826
6,32038163,32038218
7,32037520,32037607
8,32037254,32037378
9,32035890,32035994
10,32035522,32035667
11,32034690,32034838
12,32033845,32034038
13,32032706,32032774
14,32031073,32031279
15,32028428,32028571
16,32022848,32023036
17,32022140,32022257
18,32021226,32021287
19,32021022,32021131
20,32019858,32019959
21,32018502,32018562
22,32018316,32018387
23,32018052,32018156
24,32017143,32017359
25,32015509,32015659
26,32009010,32011516

>NPM1_ENST00000296930.9,chr5:171387116-171411137
1,171387648,171388006
2,171390051,171390130
3,171391305,171391424
4,171391706,171391799
5,171392710,171392816
6,171392914,171392978
7,171400153,171400210
8,171400839,171400925
9,171405302,171405403
10,171407700,171407774
11,171410527,171411137

>CARS_ENST00000397111.9,chr11:3000922-3057613
1,3057343,3057613
2,3042165,3042256
3,3040896,3040984
4,3039835,3039931
5,3039194,3039292
6,3038050,3038199
7,3029303,3029443
8,3028996,3029084
9,3026676,3026797
10,3020220,3020332
11,3019139,3019267
12,3018620,3018749
13,3018408,3018511
14,3017857,3017954
15,3017106,3017295
16,3015781,3015849
17,3012195,3012276
18,3006879,3006959
19,3005366,3005433
20,3002541,3002600
21,3001970,3002053
22,3000922,3001248

>CLTC_ENST00000269122.7,chr17:59619689-59696956
1,59619858,59620173
2,59644276,59644483
3,59647398,59647666
4,59648240,59648401
5,59651203,59651316
6,59655854,59656027
7,59660391,59660588
8,59661443,59661643
9,59663842,59663994
10,59664787,59664909
11,59666103,59666240
12,59666480,59666644
13,59666797,59666977
14,59668777,59668940
15,59673647,59673772
16,59674701,59674843
17,59676954,59677188
18,59679397,59679519
19,59680912,59681057
20,59681295,59681478
21,59681647,59681839
22,59682271,59682428
23,59682629,59682793
24,59682907,59683014
25,59683095,59683262
26,59683387,59683536
27,59683625,59683756
28,59683875,59683985
29,59685056,59685226
30,59685587,59685808
31,59690636,59690711
32,59693728,59696310

>RANBP2_ENST00000283195.10,chr2:108719481-108785811
1,108719481,108719678
2,108729132,108729199
3,108730774,108730885
4,108731322,108731474
5,108735532,108735762
6,108736104,108736249
7,108740489,108740681
8,108746711,108746798
9,108748920,108749129
10,108751264,108751445
11,108751528,108751703
12,108751871,108751994
13,108752998,108753159
14,108753426,108753563
15,108753825,108753971
16,108754905,108755084
17,108755176,108755259
18,108758413,108758548
19,108762101,108762195
20,108763237,108768388
21,108771701,108771871
22,108772489,108772581
23,108772868,108773046
24,108775732,108775936
25,108777130,108777231
26,108781269,108781429
27,108782128,108782401
28,108782528,108782862
29,108783596,108785811

>ATIC_ENST00000236959.13,chr2:215311817-215349773
1,215311817,215312161
2,215312498,215312624
3,215318157,215318233
4,215319665,215319731
5,215325241,215325329
6,215325987,215326138
7,215326822,215326978
8,215332382,215332507
9,215333350,215333457
10,215334919,215335004
11,215336035,215336124
12,215338779,215338907
13,215344779,215344871
14,215346759,215346941
15,215349094,215349249
16,215349536,215349763

>STRN_ENST00000263918.8,chr2:36843640-36966472
1,36966230,36966472
2,36925105,36925208
3,36916078,36916151
4,36905540,36905618
5,36902584,36902751
6,36899523,36899658
7,36893898,36894033
8,36886716,36886826
9,36883932,36884075
10,36877891,36878027
11,36869554,36869729
12,36867814,36867861
13,36861132,36861253
14,36857856,36858023
15,36855212,36855352
16,36851000,36851107
17,36849714,36849800
18,36843640,36849625

>TPM4_ENST00000344824.10,chr19:16067021-16103005
1,16067507,16067738
2,16076047,16076172
3,16081913,16082046
4,16086423,16086540
5,16088027,16088097
6,16089045,16089120
7,16093536,16093598
8,16093684,16093753
9,16101264,16101790

>CD74_ENST00000009530.11,chr5:150401637-150412929
1,150412625,150412751
2,150407152,150407324
3,150406881,150406960
4,150406259,150406321
5,150405085,150405180
6,150404680,150404767
7,150403121,150403312
8,150402563,150402625
9,150402152,150402250

>ROS1_ENST00000368508.7,chr6:117288300-117425855
1,117425534,117425855
2,117418462,117418506
3,117416258,117416317
4,117409582,117409642
5,117404280,117404428
6,117403139,117403277
7,117396915,117397116
8,117396188,117396264
9,117394616,117394738
10,117394162,117394346
11,117393224,117393321
12,117389350,117389846
13,117387780,117388034
14,117386889,117386999
15,117385683,117385861
16,117383317,117383508
17,117379059,117379159
18,117366076,117366290
19,117365581,117365741
20,117365060,117365204
21,117362603,117362865
22,117360342,117360405
23,117359809,117360011
24,117357804,117358009
25,117356629,117356915
26,117352990,117353169
27,117344060,117344262
28,117342400,117342544
29,117341400,117341632
30,117341135,117341311
31,117337172,117337340
32,117329329,117329446
33,117326224,117326414
34,117324332,117324415
35,117321259,117321394
36,117319868,117320030
37,117318188,117318252
38,117317143,117317272
39,117311020,117311117
40,117310081,117310281
41,117308794,117308928
42,117300974,117301137
43,117288300,117288802

>SLC34A2_ENST00000382051.7,chr4:25655301-25678748
1,25655844,25655890
2,25662498,25662612
3,25662705,25662842
4,25664202,25664330
5,25666128,25666271
6,25667880,25667991
7,25669647,25669842
8,25670738,25670833
9,25671601,25671721
10,25673087,25673254
11,25674296,25674412
12,25674505,25674629
13,25676135,25678748

>EZR_ENST00000367075.3,chr6:158765741-158819412
1,158819317,158819412
2,158818082,158818166
3,158789288,158789371
4,158787108,158787203
5,158785309,158785583
6,158784644,158784727
7,158783520,158783666
8,158776408,158776504
9,158771244,158771407
10,158770764,158770894
11,158769784,158769944
12,158769326,158769418
13,158767261,158767512
14,158765748,158767078

>GOPC_ENST00000052569.10,chr6:117560269-117602542
1,117602004,117602528
2,117578900,117579064
3,117575177,117575352
4,117573467,117573632
5,117570860,117570955
6,117569572,117569736
7,117566854,117567034
8,117560269,117563384

>SDC4_ENST00000372733.3,chr20:45325288-45348424
1,45348325,45348424
2,45335782,45335920
3,45333023,45333069
4,45330366,45330564
5,45325288,45327415

>CCDC6_ENST00000263102.6,chr10:59788763-59906656
1,59906122,59906656
2,59852553,59852702
